Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
flange-anutex-toughened-modelling-wax-500g-dental-product,Flange Anutex Toughened Modelling Wax 500G | Dental Product,"<p>Will not irritate oral tissues- No unpleasant odour or flavour,Softens without becoming flaky or crumbly -Does not adhere fingers-Trims easily and cleanly.<br>Colour: Translucent Pink - Sheet size: 189mm x 89mm x 1.5mm thick -Pack size: 500g (24 sheets)</p>",Techim,,"Impression Trays & Accessories, Wax",Crown and Bridges,TRUE,Title,Default Title,,,,,Wx310,0,shopify,,deny,manual,31.8,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Wx310-Anutex-Toughened-Modelling-Wax-500g.webp,1,Flange Anutex Toughened Modelling Wax 500G | Dental Product,FALSE,Flange Anutex Toughened Modelling Wax 500G | Dental Product,,,g,,,active
orange-occlusal-wax-rims-dental-product,Orange Occlusal Wax Rims | Dental Product,"<p>High adhesion to the support splints and extremely easy positioning. In order to better use the rims, immerse the splint in hot water before putting it into the mouth. Once it cools down, it will be stable and indeformable. Colour and packaging: orange - box containing 100 pieces</p>",Techim,,"Impression Trays & Accessories, Wax","Crown and Bridges, Instruments & Tools",TRUE,Title,Default Title,,,,,CER200-9100,0,shopify,,deny,manual,110,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/CER200-9100-BITE-WAX-ORANGE-OCCLUSAL-WAX-RIMS.webp,1,Orange Occlusal Wax Rims | Dental Product,FALSE,Orange Occlusal Wax Rims | Dental Product,,,g,,,active
heating-clear-dental-product,Heating Clear | Dental Product,"<p>The Heating Clear is the safe alternative to Bunsen burners and open flame devices. It allows technicians to use their desired waxing tools. - Features: · Heats up instantly. Safe to use, virtually eliminates the possibility of burns or fire. Environmentally, friendly, energy efficient. · Easy to use, ergonomic design. Leaves instruments cleaner, no soot particles. Simply plug into outlet, no bulky converter.</p>",Techim,,Machinery Equipment & Accessories,Dental Stone,TRUE,Title,Default Title,,,,,AC2029,0,shopify,,deny,manual,300,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/HEATING-CLEAR.webp,1,Heating Clear | Dental Product,FALSE,Heating Clear | Dental Product,,,g,,,active
silicon-retard-liquid-20-ml-dental-product,Silicon Retard Liquid 20 Ml | Dental Product,<p>Applicable only on addition silicones. Liquid that delays the hardening of silicones. Each drop is able to delay hardening by 1-2 minutes. 20 ML</p>,Techim,,Lab Putty,"Acrylics, Lab Putty",TRUE,Title,Default Title,,,,,ADD000011,0,shopify,,deny,manual,28,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/IMG_9859-scaled.jpg,1,Silicon Retard Liquid 20 Ml | Dental Product,FALSE,Silicon Retard Liquid 20 Ml | Dental Product,<p>Applicable only on addition silicones. Liquid that delays the hardening of silicones. Each drop is able to delay hardening by 1-2 minutes. 20 ML</p>,,g,,,active
delta-easy-stick-dental-product,Delta Easy Stick | Dental Product,"<p><ul></p>
<p><li>1300℃ high temperature resistant material.</li></p>
<p><li>At the end of firing, the paste can be automatically separated while maintaining the original support, facilitating peeling.</li></p>
<p><li>The ideal fixing effect can be achieved with a maximum size of soybean grain.</li></p>
<p><li>No drying time required.</li></p>
<p></ul></p>
<p><div class=""fusion-fullwidth fullwidth-box fusion-builder-row-6 fusion-flex-container nonhundred-percent-fullwidth non-hundred-percent-height-scrolling""></p>
<p><div class=""fusion-builder-row fusion-row fusion-flex-align-items-flex-start""></p>
<p><div class=""fusion-layout-column fusion_builder_column fusion-builder-column-11 fusion_builder_column_1_1 1_1 fusion-flex-column""></p>
<p><div class=""fusion-column-wrapper fusion-flex-justify-content-flex-start fusion-content-layout-column""></p>
<p><div><a class=""fusion-button button-flat fusion-button-default-size button-custom button-2 fusion-button-default-span fusion-button-default-type"" target=""_self"" rel=""noopener""><span class=""fusion-button-text"">Specifications</span></a></div></p>
<p></div></p>
<p></div></p>
<p><div class=""fusion-layout-column fusion_builder_column fusion-builder-column-12 fusion_builder_column_1_1 1_1 fusion-flex-column""></p>
<p><div class=""fusion-column-wrapper fusion-flex-justify-content-flex-start fusion-content-layout-column""></p>
<p><div class=""fusion-builder-row fusion-builder-row-inner fusion-row fusion-flex-align-items-flex-start""></p>
<p><div class=""fusion-layout-column fusion_builder_column_inner fusion-builder-nested-column-0 fusion_builder_column_inner_1_3 1_3 fusion-flex-column fusion-flex-align-self-stretch""></p>
<p><div class=""fusion-column-wrapper fusion-flex-justify-content-center fusion-content-layout-column""></p>
<p><div class=""fusion-title title fusion-title-2 fusion-sep-none fusion-title-center fusion-title-text fusion-title-size-one""></p>
<p><h1 class=""title-heading-center fusion-responsive-typography-calculated"">Composition</h1></p>
<p></div></p>
<p></div></p>
<p></div></p>
<p><div class=""fusion-layout-column fusion_builder_column_inner fusion-builder-nested-column-1 fusion_builder_column_inner_2_3 2_3 fusion-flex-column""></p>
<p><div class=""fusion-column-wrapper fusion-flex-justify-content-flex-start fusion-content-layout-column""></p>
<p><div class=""table-1""></p>
<p><table width=""100%""></p>
<p><thead></thead></p>
<p><tbody></p>
<p><tr></p>
<p><td align=""left"">Al2O3</td></p>
<p></tr></p>
<p><tr></p>
<p><td align=""left"">SiO2</td></p>
<p></tr></p>
<p><tr></p>
<p><td align=""left"">HEC</td></p>
<p></tr></p>
<p><tr></p>
<p><td align=""left"">PEG</td></p>
<p></tr></p>
<p><tr></p>
<p><td align=""left"">Distilled Water</td></p>
<p></tr></p>
<p></tbody></p>
<p></table></p>
<p></div></p>
<p></div></p>
<p></div></p>
<p></div></p>
<p></div></p>
<p></div></p>
<p></div></p>
<p></div></p>
<p><div class=""fusion-fullwidth fullwidth-box fusion-builder-row-7 fusion-flex-container nonhundred-percent-fullwidth non-hundred-percent-height-scrolling""></p>
<p><div class=""fusion-builder-row fusion-row fusion-flex-align-items-flex-start""></p>
<p><div class=""fusion-layout-column fusion_builder_column fusion-builder-column-13 fusion_builder_column_1_1 1_1 fusion-flex-column""></p>
<p><div class=""fusion-column-wrapper fusion-flex-justify-content-flex-start fusion-content-layout-column""></p>
<p><div id=""applications"" class=""fusion-menu-anchor""></div></p>
<p></div></p>
<p></div></p>
<p></div></p>
<p></div></p>",Deprag,,Crown and Bridges,Dental Stone,TRUE,Title,Default Title,,,,,Cb135,0,shopify,,deny,manual,48,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/Easy_stick.jpg,1,Delta Easy Stick | Dental Product,FALSE,Delta Easy Stick | Dental Product,"<p><ul></p>
<p><li>1300℃ high temperature resistant material.</li></p>
<p><li>At the end of firing, the paste can be automatically separated while maintaining the original support, facilitating peeling.</li></p>
<p><li>The ideal fixing effect can be achieved with a maximum size of soybean grain.</li></p>
<p><li>No drying time required.</li></p>
<p></ul></p>",,g,,,active
st18-spray-75ml-dental-product,St.18 Spray   75Ml | Dental Product,"<p>Mattifies the surface making it easy to read by</p>
<p>scanning systems.</p>",Techim,,Articulating Paper & Accessories,Crown and Bridges,TRUE,Title,Default Title,,,,,VAR000051,0,shopify,,deny,manual,35,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/st18_spray-1.webp,1,St.18 Spray   75Ml | Dental Product,FALSE,St.18 Spray   75Ml | Dental Product,"<p>Mattifies the surface making it easy to read by</p>
<p>scanning systems.</p>",,g,,,active
opaque-spray-new-for-scanning-dental-product,Opaque Spray New For Scanning | Dental Product,"<p><h1 class=""name"">Surface opaque maker</h1></p>
<p><div class=""features-container"">Opaco Spray - 75 ml</p>
<p>Makes the surface opaque, facilitating reading by scanning systems.</div></p>",Techim,,CAD CAM Products,"Articulating Paper & Accessories, Crown and Bridges",TRUE,Title,Default Title,,,,,VAR000285,0,shopify,,deny,manual,42,49,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/VAR000285-Opaco-Spray-75-ml.webp,1,Opaque Spray New For Scanning | Dental Product,FALSE,Opaque Spray New For Scanning | Dental Product,"<p><h1 class=""name"">Surface opaque maker</h1></p>",,g,,,active
zirconia-etching-in-30-min-2-bottles-1-containers-dental-product,Zirconia Etching (In 30 Min)   2 Bottles + 1 Containers | Dental Product,"<p>It provides a quick and simple solution for customised support of inlays, onlays and veneers, as well as porcelain-fused to metal crowns and bridges.</p>
<p><h3>Read the Article -------><span style=""color: #ff0000;""><a style=""color: #ff0000;"" href=""http://3deltadental.com/wp-content/uploads/2024/03/ZIRCOS-E-article-2024-Angelo-Bruno-1.pdf"">ZIRCOS-E article 2024 Angelo - Bruno</a></span></h3></p>",Bioden,,CAD CAM Products,Crown and Bridges,TRUE,Title,Default Title,,,,,Z54568,0,shopify,,deny,manual,399,,TRUE,TRUE,,http://3deltadental.com/wp-content/uploads/2024/03/IMG_32201.webp,1,Zirconia Etching (In 30 Min)   2 Bottles + 1 Containers | Dental Product,FALSE,Zirconia Etching (In 30 Min)   2 Bottles + 1 Containers | Dental Product,"<p>It provides a quick and simple solution for customised support of inlays, onlays and veneers, as well as porcelain-fused to metal crowns and bridges.</p>",,g,,,active
zirconia-etching-in-30-min-2-bottles-1-containers-dental-product,,,,,,,,,,,,,,,,,,,,,,,,,http://3deltadental.com/wp-content/uploads/2024/04/e7d7b034-c022-4477-88f8-846f882d76e6-e1744716936947.jpg,2,Zirconia Etching (In 30 Min)   2 Bottles + 1 Containers | Dental Product,,,,,,,,
composite-sintered-quartz-fiber-dental-product-daicom-fast-daicom-all-on-four,Composite Sintered Quartz Fiber | Dental Product |Daicom | Fast Daicom | All on four,"<p>DAICOM Kit is the revolutionary system for the construction of prosthetics structures for implant rehabilitation.</p>
<p>A perfect mix of composite and sintered quartz fiber of the highest quality, designed to offer the best mechanical</p>
<p>resistance of our products, with an impeccable aesthetic and with a drastic reduction in processing times</p>
<p>https://www.youtube.com/watch?v=-JrSIxqsB_I</p>",Micromedica,,Reinforcement,Crown and Bridges,TRUE,color,A1,,,,,Daicom01/02-A1,0,shopify,,deny,manual,,,TRUE,TRUE,,,,,FALSE,Composite Sintered Quartz Fiber | Dental Product |Daicom | Fast Daicom | All on four,"<p>DAICOM Kit is the revolutionary system for the construction of prosthetics structures for implant rehabilitation.</p>
<p>A perfect mix of composite and sintered quartz fiber of the highest quality, designed to offer the best mechanical</p>
<p>resistance of our products, with an impeccable aesthetic and with a drastic reduction in processing times</p>",,g,,,active
